Frames#,Latency (ms)
352,35019.3787
353,35101.2169
354,35181.9417
355,35263.3186
356,35345.0367
357,35427.3217
358,35509.4625
359,35591.0139
360,35673.0018
361,35755.2781
362,35837.7199
363,35920.0233
364,36001.9664
365,36083.555
366,36165.9746
367,36248.4224
368,36330.7661
369,36413.3597
370,36495.8591
371,36578.3392
372,36660.291
373,36742.7594
374,36825.118
375,36906.8441
376,36989.3022
377,37070.8789
378,37151.4073
379,37233.7086
380,37316.5026
381,37415.6091
382,37498.0475
383,37576.8528
384,37659.0806
385,37741.3689
386,37823.9682
387,37906.7609
388,37989.3691
389,38071.9194
390,38154.4219
391,38236.0003
392,38318.3921
393,38400.8902
394,38483.489
395,38566.014
396,38648.6273
397,38730.9808
398,38812.8946
399,38895.4435
400,38977.9297
401,39060.0946
402,39141.8453
403,39224.8354
404,39306.6849
405,39389.0622
406,39471.2634
407,39552.9042
408,39635.1465
409,39717.5004
410,39799.4797
411,39881.9107
412,39963.412
413,40045.3609
414,40127.7031
415,40209.867
416,40291.9755
417,40373.656
418,40455.7637
419,40538.1481
420,40620.4677
421,40702.3295
422,40783.6111
423,40865.1962
424,40953.8747
425,41035.3826
426,41116.6211
427,41197.5428
428,41272.236
429,41351.1337
430,41432.8791
431,41511.8699
432,41593.0707
433,41674.3949
434,41750.6026
435,41832.0873
436,41913.196
437,41994.8509
438,42076.2095
439,42158.1229
440,42239.836
441,42321.8323
442,42403.5295
443,42485.3863
444,42567.1392
445,42648.0214
446,42729.2494
447,42810.4924
448,42892.486
449,42973.3864
450,43054.9996
451,43136.4016
452,43217.8948
453,43299.603
454,43381.0079
455,43462.8394
456,43545.3774
457,43626.6471
458,43708.2449
459,43789.3028
460,43871.4444
461,43952.4049
462,44033.5517
463,44118.6818
464,44200.4536
465,44282.3237
466,44364.4989
467,44446.2756
468,44528.5324
469,44610.7987
470,44692.7439
471,44772.1664
472,44852.4021
473,44934.6576
474,45016.4049
475,45098.5757
476,45181.5943
477,45260.2721
478,45331.0293
479,45413.0402
480,45494.9634
481,45572.4909
482,45643.3248
483,45716.4492
484,45789.6914
485,45858.0613
486,45936.4963
487,46015.7908
488,46097.6151
489,46179.5902
490,46261.5184
491,46343.4157
492,46425.4231
493,46507.3994
494,46586.5333
495,46666.6667
496,46748.4873
497,46830.1618
498,46912.1154
499,46993.4344
500,47075.3179
501,47157.3069
502,47238.2034
503,47319.6621
504,47401.5838
505,47483.6086
506,47565.1861
507,47647.2074
508,47729.1734
509,47810.9404
510,47893.0469
511,47973.2787
512,48055.17
513,48137.4414
514,48219.6806
515,48301.4345
516,48383.4505
517,48465.5449
518,48547.6738
519,48629.5835
520,48711.4882
521,48792.9161
522,48874.4279
523,48956.8132
524,49038.9072
525,49119.6198
526,49200.7661
527,49282.8444
528,49363.7263
529,49445.7332
530,49526.2266
531,49607.4824
532,49689.4983
533,49765.197
534,49847.321
535,49929.0128
536,50011.2023
537,50093.2761
538,50175.2012
539,50257.1248
540,50339.1724
541,50420.0856
542,50502.0879
543,50584.0692
544,50665.5487
545,50746.4984
546,50827.666
547,50908.9386
548,50990.0228
549,51071.3086
550,51152.3747
551,51234.2671
552,51316.2236
553,51397.4619
554,51474.9757
555,51556.8405
556,51637.9756
557,51719.049
558,51802.4725
559,51882.1902
560,51960.9287
561,52041.6819
562,52123.5231
563,52206.3853
564,52288.9186
565,52369.8056
566,52454.2277
567,52536.5874
568,52618.6185
569,52698.7958
570,52780.5108
571,52862.5932
572,52944.0967
573,53026.1653
574,53106.6634
575,53186.6954
576,53268.5679
577,53350.5049
578,53431.7909
579,53513.7143
580,53595.9931
581,53678.5809
582,53762.7903
583,53845.7139
584,53927.0723
585,54009.1077
586,54091.1669
587,54173.4401
588,54255.779
589,54338.3185
590,54420.7204
591,54502.4688
592,54584.9291
593,54666.9921
594,54748.6905
595,54830.764
596,54887.1805
597,54969.19
598,55053.1933
599,55132.424
600,55211.0622
601,55290.7704
602,55372.1198
603,55453.7918
604,55535.4153
605,55616.3646
606,55697.2801
607,55778.9951
608,55860.5431
609,55942.1473
610,56023.163
611,56104.328
612,56186.3715
613,56268.3642
614,56350.4045
615,56432.0454
616,56512.7518
617,56594.6633
618,56676.7023
619,56758.7002
620,56840.2807
621,56920.7933
622,57002.8563
623,57085.4937
624,57166.2974
625,57247.7502
626,57329.1602
627,57411.156
628,57493.1811
629,57575.2994
630,57657.2429
631,57738.9114
632,57820.7519
633,57902.7626
634,57984.8757
635,58066.5314
636,58148.938
637,58230.6063
638,58312.7191
639,58394.8677
640,58478.0883
641,58559.9617
642,58637.7028
643,58719.7153
644,58801.5862
645,58883.5846
646,58964.5905
647,59046.5808
648,59128.5796
649,59210.5212
650,59292.3318
651,59373.4819
652,59455.6444
653,59537.4491
654,59619.0455
655,59700.8264
656,59782.3879
657,59864.2221
658,59946.2256
659,60028.1838
660,60110.66
661,60192.6827
662,60274.5984
663,60357.1296
664,60439.4181
665,60521.7272
666,60603.8838
667,60686.3776
668,60768.4234
669,60850.6554
670,60933.1553
671,61015.7067
672,61099.7592
673,61182.4958
674,61264.9669
675,61345.4971
676,61426.8987
677,61509.4453
678,61592.0906
679,61676.5559
680,61758.7733
681,61835.4281
682,61916.9329
683,61999.0781
684,62081.3676
685,62163.0968
686,62245.1124
687,62325.607
688,62404.3992
689,62486.1969
690,62568.3309
691,62650.3969
692,62731.9402
693,62814.1008
694,62896.1426
695,62978.9725
696,63061.2194
697,63143.5571
698,63225.6667
699,63307.9334
700,63390.1787
701,63472.4733
702,63554.7027
703,63637.2029
704,63719.4918
705,63801.2717
706,63883.6871
707,63965.5509
708,64047.6721
709,64129.9271
710,64212.1521
711,64294.29
712,64376.4781
713,64457.7265
714,64539.4934
715,64621.6427
716,64703.7434
717,64785.9486
718,64867.8204
719,64949.7487
720,65031.5446
721,65113.9073
722,65199.0739
723,65282.1315
724,65364.6161
725,65446.7838
726,65529.1689
727,65611.3683
728,65693.5634
729,65775.8087
730,65858.3149
731,65938.7734
732,66020.3129
733,66102.5675
734,66185.0851
735,66267.6189
736,66350.0892
737,66432.572
738,66515.6646
739,66597.606
740,66679.8499
741,66762.1348
742,66844.1605
743,66926.4961
744,67008.4657
745,67090.4053
746,67172.7107
747,67255.2354
748,67337.4691
749,67418.6718
750,67500.946
751,67583.1503
752,67664.8113
753,67747.0921
754,67828.3933
755,67899.5765
756,67979.2578
757,68061.2474
758,68142.8597
759,68223.9923
760,68306.0168
761,68387.2589
762,68469.3955
763,68548.7074
764,68628.3557
765,68715.6088
766,68797.5621
767,68879.8016
768,68962.4882
769,69044.4228
770,69125.3124
771,69207.7074
772,69290.5882
773,69372.6444
774,69454.1768
775,69532.0261
776,69614.1888
777,69696.3802
778,69778.1919
779,69859.8716
780,69941.2362
781,70023.8622
782,70106.3193
783,70187.239
784,70269.3692
785,70352.4425
786,70434.2248
787,70516.9785
788,70599.3999
789,70681.8393
790,70764.0824
791,70846.4631
792,70929.1059
793,71010.9331
794,71093.1979
795,71175.0744
796,71257.8847
797,71340.8943
798,71423.3669
799,71505.1975
800,71586.5436
801,71668.8297
802,71751.0634
803,71833.2704
804,71915.359
805,71996.977
806,72078.9677
807,72162.1267
808,72243.8836
809,72325.7538
810,72407.5328
811,72489.4645
812,72570.865
813,72652.7014
814,72734.7062
815,72817.6862
816,72899.3936
817,72981.2769
818,73063.2776
819,73143.6927
820,73219.4841
821,73301.7523
822,73383.967
823,73466.366
824,73547.8414
825,73628.0323
826,73707.1282
827,73785.2755
828,73865.6853
829,73945.6768
830,74027.2775
831,74108.1658
832,74190.199
833,74270.4457
834,74349.7711
835,74428.9472
836,74507.9239
837,74589.0178
838,74669.0259
839,74750.8587
840,74828.079
841,74908.6651
842,74991.0323
843,75072.879
844,75149.8878
845,75230.8157
846,75307.9253
847,75381.7416
848,75462.0696
849,75549.8443
850,75629.2699
851,75710.8242
852,75792.6322
853,75874.3832
854,75956.1278
855,76037.1184
856,76118.9001
857,76200.8636
858,76283.1403
859,76364.8786
860,76445.2545
861,76527.6538
862,76610.1835
863,76692.7797
864,76774.9211
865,76857.6604
866,76935.682
867,77017.9934
868,77100.5999
869,77182.8406
870,77265.4563
871,77348.2002
872,77429.8193
873,77512.4118
874,77594.7677
875,77677.3847
876,77759.9717
877,77842.5446
878,77923.9347
879,78005.7685
880,78087.711
881,78169.0743
882,78251.4659
883,78333.749
884,78414.3094
885,78493.9582
886,78576.1868
887,78658.5546
888,78741.1671
889,78823.4177
890,78905.3625
891,78987.0636
892,79069.4928
893,79151.8906
894,79234.1418
895,79318.4329
896,79400.1375
897,79482.1911
898,79564.1562
899,79646.6115
900,79729.0581
901,79811.503
902,79893.0306
903,79975.5266
904,80058.0192
905,80140.5273
906,80222.4401
907,80305.0497
908,80387.4143
909,80469.8328
910,80552.6241
911,80625.6897
912,80707.1722
913,80789.8067
914,80872.4216
915,80955.2524
916,81037.5313
917,81119.9317
918,81202.6582
919,81284.8918
920,81367.4422
921,81449.7536
922,81532.2259
923,81615.1435
924,81697.695
925,81780.4288
926,81862.8584
927,81945.0667
928,82027.443
929,82109.7968
930,82191.8259
931,82274.4575
932,82356.6702
933,82438.9095
934,82521.7272
935,82604.4232
936,82687.1141
937,82769.2839
938,82851.956
939,82934.5958
940,83018.9886
941,83101.2961
942,83179.8346
943,83262.1495
944,83345.2456
945,83427.4481
946,83509.1873
947,83591.6657
948,83673.6329
949,83755.9011
950,83838.1202
951,83920.3303
952,84002.536
953,84084.6218
954,84167.0191
955,84245.3818
956,84327.8542
957,84410.2028
958,84492.581
959,84574.8663
960,84657.3315
961,84739.4384
962,84822.2493
963,84904.6759
964,84986.9392
965,85069.5315
966,85152.2749
967,85234.9355
968,85317.4587
969,85399.7297
970,85482.1517
971,85564.5874
972,85647.1383
973,85729.708
974,85812.294
975,85895.1357
976,85977.6831
977,86060.643
978,86143.2366
979,86226.2072
980,86308.7911
981,86390.984
982,86473.4636
983,86570.2829
984,86652.9322
985,86735.1514
986,86817.5364
987,86900.291
988,86982.7885
989,87065.5341
990,87148.2381
991,87230.966
992,87313.7338
993,87396.6198
994,87479.1763
995,87561.6749
996,87643.8619
997,87725.9913
998,87808.3015
999,87891.0535
1000,87973.1723
1001,88054.7011
1002,88134.4374
1003,88216.9444
1004,88299.1823
1005,88379.1451
1006,88457.353
1007,88539.4889
1008,88622.0687
1009,88704.4834
1010,88786.9736
1011,88868.7972
1012,88950.9911
1013,89033.3092
1014,89115.9496
1015,89198.3066
1016,89276.7577
1017,89356.0577
1018,89438.1819
1019,89520.404
1020,89602.3646
1021,89683.5222
1022,89765.0987
1023,89847.0654
1024,89926.8383
1025,90006.7524
1026,90085.3339
1027,90166.2166
1028,90247.8489
1029,90329.3502
1030,90410.5651
1031,90489.3097
1032,90570.5313
1033,90652.1404
1034,90732.8447
1035,90813.6425
1036,90894.902
1037,90976.8251
1038,91058.538
1039,91140.254
1040,91222.1894
