Time,Throughput (Mbps)
15:52:30,14.043824
15:52:31,132.67195999999998
15:52:32,130.15095200000005
15:52:33,121.62293599999995
15:52:34,123.25642399999997
15:52:35,127.9962
15:52:36,123.98476799999999
15:52:37,113.244272
15:52:38,105.14037600000006
15:52:39,83.36946400000001
15:52:40,86.10747200000004
15:52:41,67.55062400000001
15:52:42,66.59792800000002
15:52:43,76.56886399999998
15:52:44,69.28226400000001
15:52:45,74.740424
15:52:46,69.945312
15:52:47,66.306704
15:52:48,66.94037599999997
15:52:49,65.69358400000002
15:52:50,63.927336
15:52:51,64.05639199999997
15:52:52,65.20799999999998
15:52:53,61.78362399999999
15:52:54,62.75564800000001
15:52:55,70.355968
15:52:56,69.20887200000001
15:52:57,69.64705600000002
15:52:58,66.171328
15:52:59,68.09829599999999
15:53:00,60.97875199999999
15:53:01,63.72495200000002
15:53:02,65.555584
15:53:03,61.36164
15:53:04,68.61395999999999
15:53:05,61.32307200000003
15:53:06,56.73173600000001
15:53:07,71.090056
15:53:08,70.34671200000004
15:53:09,67.976256
15:53:10,63.81463200000002
15:53:11,68.228136
15:53:12,57.87148800000001
15:53:13,54.54047999999998
15:53:14,63.50885600000002
15:53:15,60.22672800000006
15:53:16,55.279287999999994
15:53:17,57.911912
15:53:18,56.47200800000002
15:53:19,67.526904
15:53:20,59.51432
15:53:21,56.38806399999997
15:53:22,64.16271200000001
15:53:23,62.34678399999998
15:53:24,56.838200000000015
15:53:25,61.28297599999999
15:53:26,57.571000000000005
15:53:27,59.688
15:53:28,54.52888799999998
15:53:29,55.86531200000002
15:53:30,59.658464
15:53:31,62.060376000000005
15:53:32,61.16820799999999
15:53:33,57.191064000000004
15:53:34,65.95859200000001
15:53:35,59.28826399999998
15:53:36,57.31671999999999
15:53:37,62.618751999999986
15:53:38,63.275664
15:53:39,59.231143999999986
15:53:40,61.77335199999996
15:53:41,59.65206399999998
15:53:42,61.95617599999999
15:53:43,62.834304
15:53:44,67.09091199999999
15:53:45,62.08972
15:53:46,60.931216000000006
15:53:47,67.26739200000002
15:53:48,62.313943999999964
15:53:49,65.53999199999998
15:53:50,56.78766400000002
15:53:51,66.1016
15:53:52,57.963056
15:53:53,54.164536
15:53:54,59.113791999999975
15:53:55,65.877832
15:53:56,67.655728
15:53:57,65.64988
15:53:58,63.55744800000001
15:53:59,65.76636800000001
15:54:00,60.19611199999999
15:54:01,63.287967999999964
15:54:02,56.408199999999994
15:54:03,61.77020800000001
15:54:04,51.46939999999998
15:54:05,57.899927999999996
15:54:06,57.501816
15:54:07,53.260720000000006
15:54:08,63.332807999999986
15:54:09,61.56531999999999
15:54:10,60.75337600000001
15:54:11,64.89251200000001
15:54:12,59.14022399999998
15:54:13,61.132256
15:54:14,59.121824
15:54:15,56.833784
15:54:16,62.86090399999999
15:54:17,55.759904
15:54:18,52.15440800000002
15:54:19,61.78204000000001
15:54:20,61.926344
15:54:21,59.18223999999998
15:54:22,65.88769599999999
15:54:23,59.19024799999999
15:54:24,61.76999200000001
15:54:25,59.73355999999999
15:54:26,58.656576
15:54:27,63.2204
15:54:28,57.894472000000015
15:54:29,56.385312
15:54:30,57.871007999999996
15:54:31,58.017895999999986
15:54:32,64.74984800000001
15:54:33,59.13720799999999
15:54:34,59.888527999999994
15:54:35,63.53646399999999
15:54:36,57.88796800000001
15:54:37,60.02936799999999
15:54:38,58.068224000000015
15:54:39,59.103616
15:54:40,56.59296800000001
15:54:41,56.71404000000001
15:54:42,55.106384000000006
15:54:43,57.91185599999997
15:54:44,59.477775999999984
15:54:45,62.764496
15:54:46,62.32760800000002
15:54:47,57.718232
15:54:48,65.90073599999995
15:54:49,62.31983199999998
15:54:50,62.570359999999994
15:54:51,58.39168800000001
15:54:52,60.337143999999995
15:54:53,61.620351999999976
15:54:54,55.172527999999986
15:54:55,63.401455999999975
15:54:56,66.67008000000001
15:54:57,63.23276800000001
15:54:58,63.58898399999999
15:54:59,61.44528800000002
15:55:00,65.06629600000001
15:55:01,60.285592
15:55:02,62.905335999999984
15:55:03,61.034032000000025
15:55:04,56.968839999999986
15:55:05,57.91240800000001
15:55:06,52.01992000000001
15:55:07,56.62340800000001
15:55:08,62.45331999999999
15:55:09,66.33376799999999
15:55:10,67.10007200000001
15:55:11,62.238952
15:55:12,65.15187999999999
15:55:13,56.558703999999985
15:55:14,60.63460799999996
15:55:15,58.932648000000015
15:55:16,60.28389599999999
15:55:17,57.50391200000001
15:55:18,61.16260000000001
15:55:19,53.81583199999999
15:55:20,64.770264
15:55:21,61.416536
15:55:22,58.07304000000001
15:55:23,63.918608000000006
15:55:24,63.40811200000002
15:55:25,58.66885599999999
15:55:26,59.921119999999995
15:55:27,60.56892799999999
15:55:28,61.54938400000001
15:55:29,53.54604
15:55:30,60.729104000000014
15:55:31,52.908976
15:55:32,60.102087999999995
15:55:33,68.09364800000002
15:55:34,60.53223999999999
15:55:35,61.27156800000002
15:55:36,62.35037599999999
15:55:37,53.63951200000001
15:55:38,56.38355999999999
15:55:39,59.271263999999995
15:55:40,57.320840000000004
15:55:41,55.60075199999999
15:55:42,51.08875200000002
15:55:43,53.492960000000004
15:55:44,56.365968
15:55:45,62.40344800000002
15:55:46,55.16314400000001
15:55:47,58.862320000000004
15:55:48,61.11717600000001
15:55:49,55.35001599999999
15:55:50,59.17868000000002
15:55:51,52.223424000000016
15:55:52,55.536696000000006
15:55:53,55.5882
15:55:54,53.584752
15:55:55,51.208743999999996
15:55:56,59.98768000000001
15:55:57,59.05272
15:55:58,62.457039999999985
