Frames#,Latency (ms)
0,8346.5873
1,8415.1682
2,8490.9392
3,8569.946
4,8644.719
5,8724.1211
6,8796.4517
7,8875.857
8,8956.2389
9,9035.6874
10,9115.9902
11,9196.3517
12,9276.5007
13,9355.553
14,9435.5248
15,9515.8964
16,9595.7725
17,9676.084
18,9782.3532
19,9863.0417
20,9943.7841
21,10024.1791
22,10096.9522
23,10171.3689
24,10247.6526
25,10326.9047
26,10406.5749
27,10487.1447
28,10567.3152
29,10645.2602
30,10721.7087
31,10799.9363
32,10878.1175
33,10957.4252
34,11034.9123
35,11115.5401
36,11195.937
37,11275.8769
38,11352.7824
39,8122.6107
40,9416.748
41,5337.705
42,6930.2143
43,9452.8185
44,8537.2835
45,8618.0527
46,5211.8226
47,6926.0641
48,9446.582
49,5145.3653
50,8611.7667
51,9485.7255
52,5209.0134
53,9516.203
54,7865.8164
55,5211.8554
56,8549.0802
57,10995.3545
58,6743.3906
59,8981.8244
60,4885.1115
61,9044.4505
62,5159.6601
63,9393.5791
64,5223.6762
65,9484.3447
66,4879.4363
67,4839.5739
68,6652.4004
69,10855.4701
70,7632.2864
71,4650.0363
72,4738.9755
73,4819.334
74,4699.1569
75,10834.8991
76,4862.8018
77,4742.1129
78,6554.1635
79,4703.9847
80,4785.7293
81,10819.0393
82,4969.539
83,10881.3927
84,10963.0902
85,4688.1439
86,4769.7103
87,7395.7107
88,4952.2657
89,6438.6296
90,4505.271
91,8579.6342
92,6481.1617
93,6562.8945
94,9011.7301
95,4915.6895
96,4673.8242
97,4978.0988
98,4736.2043
99,7260.2943
100,6526.9108
101,4779.6115
102,10710.0806
103,4842.9825
104,4332.4613
105,6530.3431
106,4882.902
107,8362.1202
108,4331.5718
109,4413.9589
110,6531.0476
111,4477.5436
112,8773.5366
113,10593.3188
114,4744.9593
115,10656.0949
116,4789.2705
117,4463.2007
118,4769.3284
119,4851.8511
120,4934.7065
121,8702.0318
122,10624.8398
123,4451.0744
124,8747.4268
125,4026.3016
126,4923.9592
127,6819.9929
128,4458.6116
129,3930.1586
130,4012.5449
131,4606.5424
132,3995.2528
133,4892.7506
134,6788.6546
135,4956.7224
136,4408.5456
137,8603.103
138,8264.1342
139,4982.7274
140,10384.0924
141,10465.9897
142,8286.0222
143,4373.5447
144,3865.4096
145,4965.7046
146,5943.046
147,4397.4246
148,4479.1347
149,8566.9064
150,5962.8283
151,6045.268
152,4927.3282
153,8169.9225
154,8252.294
155,8552.9594
156,6049.9393
157,8611.9984
158,3566.0895
159,10208.9763
160,3648.2514
161,4119.4474
162,4302.3404
163,4384.917
164,8577.2615
165,5973.7174
166,4428.1569
167,4734.1107
168,4491.1422
169,4573.1638
170,4777.3289
171,4635.6057
172,4718.0044
173,4800.2515
174,5900.7649
175,3336.953
176,8445.8049
177,3911.4376
178,4806.2669
179,5906.5594
180,5988.989
181,3344.6164
182,4646.538
183,7787.577
184,8393.3267
185,5994.1405
186,6076.772
187,7813.702
188,3802.9317
189,3292.9945
190,7857.4944
191,4659.3351
192,4558.6898
193,4722.736
194,4622.5247
195,4705.1962
196,9599.247
197,4743.5608
198,5941.5499
199,4803.6795
200,8181.5093
201,3647.0617
202,8243.5695
203,4643.4792
204,5925.4407
205,7661.5287
206,4767.4906
207,4666.5325
208,9458.1476
209,9535.7267
210,2974.4319
211,3056.5589
212,2710.3295
213,3504.2019
214,4622.0485
215,4704.508
216,4664.7451
217,4767.3773
218,9457.2187
219,2673.0413
220,4687.9087
221,5179.294
222,5261.2978
223,9460.7302
224,2676.7087
225,7885.5788
226,4672.4459
227,3329.2978
228,7300.8685
229,4631.1738
230,4693.197
231,7866.4112
232,4756.5051
233,2721.4214
234,4635.0003
235,5124.5312
236,2764.1549
237,3235.0077
238,5166.9385
239,7187.0171
240,3278.5889
241,9207.2374
242,9288.8968
243,4949.0781
244,5302.6309
245,2690.9795
246,4993.2255
247,7656.876
248,5056.6729
249,2288.4625
250,5036.7025
251,4489.4267
252,2655.3473
253,5226.0427
254,7618.8593
255,5018.6919
256,7681.1295
257,7763.3134
258,2211.4612
259,5042.2924
260,7807.434
261,9021.9644
262,4902.4034
263,4355.5278
264,5396.954
265,9047.2879
266,6764.7683
267,4992.7928
268,9092.2876
269,2105.0346
270,2412.2247
271,4985.0634
272,2763.6257
273,2132.1753
274,2827.776
275,2910.6475
276,5273.3706
277,2974.545
278,5336.9824
279,4895.6986
280,4137.5162
281,8948.9462
282,6564.6781
283,9012.4319
284,4162.4696
285,4882.2466
286,1987.0486
287,4206.776
288,4289.3775
289,2154.2399
290,4726.1519
291,7322.4491
292,8942.3612
293,6456.5997
294,6539.1836
295,7348.1593
296,7428.5082
297,2685.3371
298,8919.4909
299,5027.7653
300,2035.8001
301,2705.9883
302,2093.0333
303,5451.0802
304,2746.7334
305,4523.5434
306,7324.1707
307,4011.4301
308,4525.2869
309,4596.1628
310,8766.1981
311,8840.1931
312,4626.5104
313,4708.5418
314,6213.072
315,4397.1246
316,4742.3846
317,8815.8493
318,7157.1675
319,4785.0785
320,4401.1858
321,7201.0792
322,4829.4323
323,8799.9037
324,4887.6118
325,6084.1567
326,4946.4365
327,8816.6967
328,4340.1789
329,7138.1944
330,7220.211
331,4950.1348
332,5032.5666
333,6030.4272
334,4324.9384
335,6092.1468
336,8741.7209
337,4366.7371
338,7166.8137
339,4998.0894
340,6096.5881
341,8746.1491
342,5038.216
343,5115.9633
344,4325.5886
345,7124.9429
346,7207.1629
347,8724.4869
348,5120.4722
349,8786.7444
350,5995.9517
351,7210.7365
352,6058.7598
353,4252.034
354,8791.5727
355,4314.1396
356,8852.7751
357,8935.0901
358,9017.371
359,4337.5983
360,4419.0726
361,5984.4596
362,9039.7489
363,4460.1895
364,4542.6395
365,7035.1265
366,9059.258
367,4581.8032
368,5944.9198
369,4807.2094
370,4625.4699
371,7018.5779
372,4848.9449
373,5948.779
374,9004.089
375,4891.2008
376,4608.2863
377,9046.4382
378,6983.0282
379,4915.8272
380,4998.4879
381,5080.771
382,7008.7422
383,9034.1629
384,5839.2417
385,7057.3882
386,7139.1993
387,9059.6302
388,4481.0662
389,9118.5198
390,7160.0706
391,7242.2842
392,7324.4407
393,5764.9365
394,4465.3197
395,7369.7885
396,4528.166
397,7432.983
398,4854.778
399,4572.1643
400,4654.4272
401,7457.9163
402,8971.3093
403,7520.3255
404,9033.8919
405,5635.6436
406,4801.8368
407,9075.9315
408,4596.8681
409,4840.8114
410,4922.8494
411,4639.3564
412,5595.8393
413,5677.2689
414,7400.7768
415,9015.976
416,5719.3304
417,4885.1698
418,7423.9894
419,4947.0868
420,4561.8863
421,7466.7038
422,5702.2179
423,5783.1251
424,4582.8008
425,7487.5157
426,7569.4247
427,4625.0567
428,5785.6389
429,7610.6286
430,7692.2214
431,7774.007
432,5807.4188
433,4768.9723
434,7812.235
435,4827.29
436,5826.2965
437,4524.4106
438,4606.0403
439,5868.505
440,7795.6417
441,4810.4247
442,5909.9736
443,7836.7309
444,4586.8268
445,5950.8991
446,8495.5495
447,4790.0669
448,5991.3892
449,7816.1063
450,4831.0025
451,6032.9157
452,6114.694
453,4871.7602
454,4485.8973
455,7797.0005
456,4547.9107
457,8375.4673
458,8456.9376
459,6075.459
460,6166.9602
461,6248.7209
462,7757.1869
463,4764.4886
464,4479.7392
465,4825.5145
466,4907.5395
467,4520.9566
468,4968.61
469,7711.053
470,8310.216
471,5010.1653
472,8366.109
473,4496.1568
474,7706.2235
475,8407.1863
476,5006.8205
477,8469.8548
478,8551.8781
479,7709.8051
480,4460.9656
481,8594.3428
482,8675.8095
483,7732.3502
484,4950.2809
485,7794.2685
486,4443.8307
487,5818.2823
488,4973.247
489,5054.4339
490,5138.3737
491,7777.1367
492,5200.6676
493,8559.5628
494,5780.2211
495,7798.8863
496,7880.8666
497,5822.9298
498,7942.0133
499,8541.5587
500,4265.6908
501,5843.5352
502,5102.6105
503,5183.8503
504,7920.1589
505,5239.2452
506,8498.4128
507,5819.0069
508,5900.2372
509,5257.7627
510,7896.4141
511,7976.0752
512,5298.7622
513,4094.6445
514,4173.338
515,4244.84
516,4326.4839
517,5282.6669
518,4388.6503
519,7900.2789
520,4450.2125
521,5303.3437
522,4505.768
523,8230.4203
524,7894.6952
525,5633.4005
526,5299.6515
527,8253.7176
528,8335.8134
529,8418.1936
530,7879.1899
531,5618.3531
532,7942.0903
533,8441.998
534,8005.0252
535,4351.224
536,4433.4464
537,5602.9672
538,8446.1345
539,8528.0544
540,4456.9008
541,4538.4848
542,5086.4435
543,5166.238
544,7906.1684
545,4556.4505
546,5208.2402
547,8467.1453
548,7948.9548
549,5250.9747
550,5332.5295
551,5424.0717
552,8470.0695
553,4500.4105
554,4582.4201
555,7914.2318
556,4639.7548
557,5396.7484
558,7947.5429
559,5457.1365
560,8400.9863
561,5518.9509
562,5601.2033
563,5165.0256
564,5246.5893
565,5643.0939
566,5308.774
567,5705.4901
