Time,Throughput (Mbps)
13:22:27,27.340216000000005
13:22:28,28.413503999999993
13:22:29,27.149448
13:22:30,24.179640000000003
13:22:31,26.417040000000004
13:22:32,23.918408000000007
13:22:33,26.367752000000003
13:22:34,25.154304000000003
13:22:35,24.379592
13:22:36,26.485760000000003
13:22:37,25.929488000000006
13:22:38,23.106416000000003
13:22:39,24.870848000000002
13:22:40,23.955695999999996
13:22:41,25.266432
13:22:42,25.32656
13:22:43,23.4516
13:22:44,23.635232000000002
13:22:45,26.192304
13:22:46,26.333648000000004
13:22:47,24.241456000000007
13:22:48,25.663191999999995
13:22:49,25.033640000000002
13:22:50,25.2618
13:22:51,25.212392
13:22:52,26.768327999999997
13:22:53,25.781696
13:22:54,26.78888
13:22:55,27.257944
13:22:56,27.152936
13:22:57,23.599567999999994
13:22:58,26.577520000000003
13:22:59,24.973615999999996
13:23:00,25.523744
13:23:01,24.890639999999994
13:23:02,25.104287999999997
13:23:03,26.477583999999997
13:23:04,24.653271999999994
13:23:05,25.455463999999996
13:23:06,24.060784
13:23:07,25.777992000000005
13:23:08,23.866711999999996
13:23:09,23.943048
13:23:10,25.325936
13:23:11,23.56192
13:23:12,24.728312000000003
13:23:13,23.835487999999998
13:23:14,23.859887999999998
13:23:15,22.272920000000003
13:23:16,24.340560000000004
13:23:17,26.397343999999997
13:23:18,25.068168
13:23:19,25.046224
13:23:20,24.5232
13:23:21,27.520775999999998
13:23:22,27.647408000000002
13:23:23,26.928256
13:23:24,25.910992
13:23:25,26.853464
13:23:26,26.027488
13:23:27,27.718160000000005
13:23:28,27.850184000000002
13:23:29,24.262888
13:23:30,26.809104
13:23:31,27.491760000000003
13:23:32,25.387984000000003
13:23:33,26.791024000000004
13:23:34,26.791199999999996
13:23:35,24.759559999999997
13:23:36,25.801000000000002
13:23:37,27.0404
13:23:38,25.555543999999994
13:23:39,25.701943999999997
13:23:40,26.864424
13:23:41,24.908431999999998
13:23:42,25.899272
13:23:43,25.413288
13:23:44,23.628224000000003
13:23:45,25.075992
13:23:46,25.861895999999998
13:23:47,25.020231999999996
13:23:48,27.875088000000005
13:23:49,25.984200000000005
13:23:50,25.947488000000007
13:23:51,25.601880000000005
13:23:52,27.834184000000004
13:23:53,27.212719999999997
13:23:54,26.53892
13:23:55,27.998624
13:23:56,26.730656000000003
13:23:57,27.607056
13:23:58,27.004255999999998
13:23:59,25.913792000000004
13:24:00,26.690743999999995
13:24:01,25.601160000000004
13:24:02,26.107463999999997
13:24:03,27.099968000000004
13:24:04,26.579832
13:24:05,24.026016
13:24:06,27.092960000000005
13:24:07,25.339104000000006
13:24:08,26.202048
13:24:09,25.293680000000002
13:24:10,26.132735999999998
13:24:11,23.628056000000004
13:24:12,25.435272
13:24:13,24.203951999999997
13:24:14,25.531775999999997
13:24:15,24.0256
13:24:16,25.361856
13:24:17,26.444951999999997
13:24:18,25.680503999999996
13:24:19,25.840976000000005
13:24:20,25.129152
13:24:21,25.451496000000002
13:24:22,27.077776000000004
13:24:23,27.44176
13:24:24,28.864952000000002
13:24:25,27.468527999999996
13:24:26,26.908720000000002
13:24:27,26.618872
13:24:28,26.31874399999999
13:24:29,24.455368
13:24:30,25.418551999999995
13:24:31,24.083952000000004
13:24:32,24.74212
13:24:33,25.360016000000005
13:24:34,24.263312000000003
13:24:35,21.667367999999993
13:24:36,22.845776000000004
13:24:37,23.344992
13:24:38,21.530920000000002
13:24:39,22.1864
13:24:40,23.075183999999997
13:24:41,21.80216
13:24:42,21.847024
13:24:43,22.156719999999996
13:24:44,21.47016
13:24:45,21.782519999999998
13:24:46,22.525247999999998
13:24:47,24.078951999999994
13:24:48,23.791424
13:24:49,23.071040000000007
13:24:50,22.46332
13:24:51,22.72776
13:24:52,20.691544
13:24:53,24.127760000000002
13:24:54,23.54284
13:24:55,23.690175999999997
13:24:56,22.85766400000001
13:24:57,25.166096
13:24:58,24.342056000000003
13:24:59,24.154415999999998
13:25:00,22.616056000000004
13:25:01,23.686575999999995
13:25:02,21.524408
13:25:03,23.160391999999998
13:25:04,24.00573599999999
13:25:05,22.459391999999998
13:25:06,22.134999999999998
13:25:07,22.62496
13:25:08,22.947671999999997
13:25:09,21.051735999999995
13:25:10,21.790960000000002
13:25:11,22.570655999999993
13:25:12,20.122367999999994
13:25:13,21.734256
13:25:14,22.666959999999992
13:25:15,22.295743999999996
13:25:16,19.541928000000006
13:25:17,21.624064
13:25:18,22.513256
13:25:19,22.542232
13:25:20,23.493008
13:25:21,22.382312000000002
13:25:22,22.099272
13:25:23,24.251303999999998
13:25:24,25.180352000000003
13:25:25,23.674832000000002
13:25:26,24.138224
13:25:27,24.771767999999998
13:25:28,25.321712
13:25:29,24.746000000000002
13:25:30,25.169704000000003
13:25:31,25.201904000000003
13:25:32,23.121608000000002
13:25:33,25.148040000000005
13:25:34,26.887136
13:25:35,25.173744
13:25:36,24.071536000000002
13:25:37,26.390591999999998
13:25:38,24.943319999999996
13:25:39,25.777056000000005
13:25:40,25.040143999999998
13:25:41,24.5308
13:25:42,25.004983999999993
13:25:43,24.309511999999998
13:25:44,24.40612000000001
13:25:45,24.869824
13:25:46,25.119743999999997
13:25:47,25.903647999999997
13:25:48,25.586871999999996
13:25:49,25.60124
13:25:50,24.054528
13:25:51,26.48844
13:25:52,25.369184
13:25:53,24.54944
13:25:54,23.738087999999998
13:25:55,26.443448000000004
13:25:56,26.505031999999996
13:25:57,25.823023999999997
13:25:58,26.805136
13:25:59,27.268216000000002
13:26:00,24.453032
13:26:01,26.390320000000003
