Frames#,Latency (ms)
0,6095.4973
1,6171.1416
2,6251.7376
3,6332.8331
4,6413.5028
5,6493.3751
6,6573.1452
7,6654.0877
8,6734.755
9,6815.2037
10,6891.7423
11,6970.8198
12,7049.3432
13,7129.3028
14,7206.6656
15,7278.2985
16,7355.4779
17,7434.8848
18,7507.6433
19,7582.37
20,7662.7138
21,7743.2124
22,7823.2206
23,7902.8365
24,7983.0716
25,8063.4329
26,8143.5955
27,8223.8323
28,8303.6795
29,8378.6924
30,8458.8265
31,8527.9618
32,8601.4218
33,8673.7935
34,8751.3057
35,8831.1178
36,8950.7883
37,9031.0973
38,9110.9844
39,5176.743
40,5124.826
41,5211.9211
42,5106.2291
43,5267.0894
44,5053.7381
45,5326.5266
46,9033.8531
47,5102.529
48,5181.521
49,9064.8502
50,5036.2251
51,5114.7055
52,4981.5341
53,5247.8398
54,5154.8365
55,5135.2015
56,5290.1059
57,5197.0722
58,5350.828
59,5156.4431
60,5413.234
61,5219.5624
62,4884.7995
63,8883.348
64,4948.2169
65,5419.5333
66,5011.0446
67,5104.3815
68,5463.0101
69,5167.8616
70,5033.4082
71,8828.3789
72,5485.2672
73,8890.969
74,5068.6027
75,8953.2596
76,5018.4493
77,5489.6671
78,5081.4148
79,5074.106
80,5533.1423
81,5613.9589
82,5013.7974
83,5096.5626
84,8878.5386
85,5159.2322
86,5024.712
87,5106.4247
88,8900.2122
89,4977.664
90,5150.1971
91,8943.8352
92,5213.3468
93,5103.7868
94,5461.3969
95,8967.83
96,9049.809
97,4924.1577
98,9112.3331
99,5465.5142
100,5547.9477
101,9155.7868
102,5611.2282
103,5693.9252
104,4891.3389
105,9180.8052
106,9263.038
107,5025.2574
108,4916.0204
109,4896.9674
110,4979.0458
111,5640.777
112,5720.0954
113,4917.871
114,5000.5753
115,5763.6778
116,4961.142
117,5826.436
118,5908.7753
119,5004.7683
120,9090.5812
121,4966.6211
122,5934.0472
123,9135.2675
124,5997.3253
125,6079.9053
126,4972.9223
127,9160.0813
128,6124.48
129,9223.3647
130,4998.5189
131,4877.4994
132,9265.7756
133,4619.4561
134,6107.0356
135,4898.3879
136,9287.8679
137,4962.4535
138,4942.9306
139,5026.4951
140,4587.8591
141,6075.1608
142,6157.8802
143,4631.8583
144,4929.5304
145,6201.4486
146,4675.0655
147,4973.3328
148,4953.1588
149,4717.9941
150,5015.6248
151,6185.7222
152,9080.071
153,5059.5192
154,5141.8044
155,9123.5004
156,6190.5461
157,4879.9257
158,5166.3746
159,6234.1523
160,5229.3272
161,6297.1081
162,9089.8208
163,9171.8975
164,9250.3124
165,4506.3687
166,9314.1042
167,4785.294
168,5173.1843
169,6240.668
170,9338.3714
171,5217.1685
172,4472.6603
173,6264.7797
174,4535.5174
175,5238.5681
176,4595.8028
177,4688.7486
178,4769.503
179,5257.3161
180,9237.5654
181,6203.258
182,6286.0717
183,9282.5491
184,9364.8567
185,4735.8858
186,5226.6174
187,4482.2548
188,4564.8914
189,6254.5272
190,9352.2404
191,4609.9276
192,4692.8288
193,5195.555
194,4757.0773
195,4647.5382
196,6246.9393
197,6329.5562
198,5201.8602
199,9283.4132
200,9365.7072
201,5246.4572
202,4706.1864
203,4788.746
204,9390.2912
205,5271.437
206,5354.0633
207,4813.4985
208,9414.32
209,5397.4564
210,6181.0743
211,9457.0982
212,4817.7718
213,9519.8788
214,6205.0228
215,5382.161
216,6266.7919
217,4324.6562
218,6328.3166
219,4781.7325
220,5385.6261
221,9464.2447
222,5448.861
223,9527.915
224,9610.1151
225,5492.9154
226,9672.4857
227,6255.4929
228,4709.1128
229,9707.6806
230,9792.9077
231,6271.1225
232,4724.3777
233,5429.9627
234,9815.7817
235,4767.2008
236,4849.4363
237,5454.1102
238,4008.7583
239,5516.7243
240,4872.8813
241,6176.8216
242,9760.9287
243,6239.0379
244,3992.8688
245,6301.182
246,6382.6955
247,5460.4901
248,6444.8441
249,5519.7163
250,3972.7623
251,9682.0036
252,4734.9278
253,4813.7782
254,9720.6761
255,5500.2724
256,5582.4314
257,4836.5861
258,3915.1683
259,9725.2023
260,6305.1229
261,4861.0434
262,4943.1115
263,3921.1379
264,4003.6288
265,6311.114
266,9693.1855
267,6374.8175
268,6457.5949
269,6539.8191
270,5416.8609
271,6603.6255
272,5480.9029
273,6666.144
274,5542.2521
275,4819.5998
276,3877.639
277,9585.9406
278,4865.5482
279,6655.0597
280,9630.6528
281,6717.5632
282,9693.1914
283,6780.4214
284,6862.6301
285,3807.7232
286,4813.0399
287,4895.2118
288,3851.5229
289,9659.7614
290,3913.963
291,5318.4305
292,9702.701
293,3957.6798
294,4859.8826
295,4017.9772
296,9723.8203
297,5342.3795
298,4061.1402
299,5405.0943
300,4837.8461
301,9710.343
302,6586.5642
303,4039.1053
304,9743.8137
305,9826.1489
306,4801.0611
307,4883.1327
308,5304.5404
309,6551.0192
310,9830.9607
311,4907.4607
312,3966.7826
313,4049.1104
314,6556.4103
315,5271.3286
316,6619.0785
317,9796.6192
318,4867.0143
319,5283.5392
320,5365.6421
321,3978.1247
322,4060.0903
323,4165.1932
324,6548.8505
325,4823.3843
326,5346.6257
327,4190.1806
328,4272.5207
329,9650.6135
330,9733.1536
331,4810.3965
332,9796.8186
333,4278.7509
334,5294.7059
335,6440.1172
336,6521.6896
337,5338.4915
338,5420.3009
339,4264.5388
